timestamp_utc,temperature_C,pressure_bar
2026-01-01T12:00:00+00:00,25.0,1.05
2026-01-01T12:00:10+00:00,29.5,1.052563
2026-01-01T12:00:20+00:00,34.0,1.055073
2026-01-01T12:00:30+00:00,38.5,1.05748
2026-01-01T12:00:40+00:00,43.0,1.059735
2026-01-01T12:00:50+00:00,47.5,1.061791
2026-01-01T12:01:00+00:00,52.0,1.063608
2026-01-01T12:01:10+00:00,56.5,1.065146
2026-01-01T12:01:20+00:00,61.0,1.066377
2026-01-01T12:01:30+00:00,65.5,1.067273
2026-01-01T12:01:40+00:00,70.0,1.067818
2026-01-01T12:01:50+00:00,74.5,1.068
2026-01-01T12:02:00+00:00,79.0,1.067815
2026-01-01T12:02:10+00:00,83.5001,1.067267
2026-01-01T12:02:20+00:00,88.0001,1.066367
2026-01-01T12:02:30+00:00,92.5004,1.065134
2026-01-01T12:02:40+00:00,97.0011,1.063593
2026-01-01T12:02:50+00:00,101.5027,1.061774
2026-01-01T12:03:00+00:00,106.0065,1.059716
2026-01-01T12:03:10+00:00,110.515,1.05746
2026-01-01T12:03:20+00:00,115.0327,1.055051
2026-01-01T12:03:30+00:00,119.5681,1.05254
2026-01-01T12:03:40+00:00,124.1353,1.049977
2026-01-01T12:03:50+00:00,128.7564,1.047415
2026-01-01T12:04:00+00:00,133.4634,1.044905
2026-01-01T12:04:10+00:00,138.2986,1.042499
2026-01-01T12:04:20+00:00,143.3128,1.040246
2026-01-01T12:04:30+00:00,148.5583,1.038191
2026-01-01T12:04:40+00:00,154.078,1.036378
2026-01-01T12:04:50+00:00,159.8898,1.034841
2026-01-01T12:05:00+00:00,165.9714,1.033614
2026-01-01T12:05:10+00:00,172.2473,1.03272
2026-01-01T12:05:20+00:00,178.5865,1.032179
2026-01-01T12:05:30+00:00,184.814,1.032
2026-01-01T12:05:40+00:00,190.7354,1.032188
2026-01-01T12:05:50+00:00,196.1725,1.032739
2026-01-01T12:06:00+00:00,201.0,1.033642
2026-01-01T12:06:10+00:00,205.1725,1.034878
2026-01-01T12:06:20+00:00,208.7354,1.036422
2026-01-01T12:06:30+00:00,211.814,1.038243
2026-01-01T12:06:40+00:00,214.5865,1.040303
2026-01-01T12:06:50+00:00,217.2473,1.042561
2026-01-01T12:07:00+00:00,219.9714,1.044971
2026-01-01T12:07:10+00:00,222.8898,1.047482
2026-01-01T12:07:20+00:00,226.078,1.050046
2026-01-01T12:07:30+00:00,229.5583,1.052608
2026-01-01T12:07:40+00:00,233.3128,1.055117
2026-01-01T12:07:50+00:00,237.2986,1.057522
2026-01-01T12:08:00+00:00,241.4634,1.059773
2026-01-01T12:08:10+00:00,245.7564,1.061826
2026-01-01T12:08:20+00:00,250.1353,1.063637
2026-01-01T12:08:30+00:00,254.5681,1.065171
2026-01-01T12:08:40+00:00,259.0327,1.066396
2026-01-01T12:08:50+00:00,263.515,1.067286
2026-01-01T12:09:00+00:00,268.0065,1.067825
2026-01-01T12:09:10+00:00,272.5027,1.068
2026-01-01T12:09:20+00:00,277.0011,1.067808
2026-01-01T12:09:30+00:00,281.5004,1.067254
2026-01-01T12:09:40+00:00,286.0001,1.066348
2026-01-01T12:09:50+00:00,290.5001,1.065109
2026-01-01T12:10:00+00:00,295.0,1.063563
